millis,ax,ay,az,gx,gy,gz
2024-12-31 11:30:03.103520,-0.004395,0.350342,0.940796,-2.929688,0.915527,-0.854492
2024-12-31 11:30:03.111520,-0.004639,0.350708,0.941162,-2.929688,0.793457,-0.732422
2024-12-31 11:30:03.120520,-0.005127,0.352417,0.939209,-3.479004,0.854492,-0.732422
2024-12-31 11:30:03.128520,-0.005493,0.353271,0.939209,-3.234863,0.854492,-0.793457
2024-12-31 11:30:03.137520,-0.007324,0.353149,0.938965,-2.990723,0.793457,-0.671387
2024-12-31 11:30:03.145520,-0.007324,0.352783,0.939575,-3.112793,0.732422,-0.793457
2024-12-31 11:30:03.154520,-0.007446,0.351318,0.940186,-2.929688,0.793457,-0.854492
2024-12-31 11:30:03.162520,-0.006104,0.351196,0.940308,-2.868652,0.915527,-0.732422
2024-12-31 11:30:03.171520,-0.005249,0.350464,0.940796,-2.990723,0.915527,-0.793457
2024-12-31 11:30:03.179520,-0.005371,0.349609,0.940918,-3.295898,0.854492,-0.854492
2024-12-31 11:30:03.188520,-0.003906,0.350464,0.939697,-2.929688,0.854492,-0.854492
2024-12-31 11:30:03.196520,-0.004395,0.349976,0.941528,-2.990723,0.854492,-0.793457
2024-12-31 11:30:03.205520,-0.004883,0.350342,0.940308,-3.234863,0.732422,-0.854492
2024-12-31 11:30:03.213520,-0.006836,0.351685,0.941284,-3.295898,0.854492,-0.671387
2024-12-31 11:30:03.221520,-0.007324,0.351074,0.939941,-3.173828,0.854492,-0.671387
2024-12-31 11:30:03.230520,-0.007202,0.351807,0.939209,-3.295898,0.732422,-0.793457
2024-12-31 11:30:03.238520,-0.006104,0.351562,0.940430,-3.173828,0.793457,-0.732422
2024-12-31 11:30:03.247520,-0.006470,0.350830,0.940308,-3.051758,0.793457,-0.793457
2024-12-31 11:30:03.255520,-0.005859,0.350708,0.940308,-3.112793,0.793457,-0.732422
2024-12-31 11:30:03.264520,-0.004272,0.349854,0.940674,-2.990723,0.793457,-0.732422
2024-12-31 11:30:03.272520,-0.005249,0.351074,0.940552,-3.051758,0.854492,-0.671387
2024-12-31 11:30:03.281520,-0.004883,0.352173,0.941895,-3.295898,0.793457,-0.793457
2024-12-31 11:30:03.289520,-0.004517,0.349121,0.935303,-3.234863,0.915527,-0.732422
2024-12-31 11:30:03.298520,-0.006226,0.354004,0.942749,-3.356934,0.732422,-0.793457
2024-12-31 11:30:03.306520,-0.004639,0.348755,0.938721,-2.807617,0.793457,-0.854492
2024-12-31 11:30:03.315520,-0.005981,0.353760,0.940063,-2.929688,0.854492,-0.793457
2024-12-31 11:30:03.323520,-0.006348,0.350220,0.941284,-2.807617,0.976562,-0.793457
2024-12-31 11:30:03.331520,-0.005371,0.353149,0.939819,-3.356934,0.854492,-0.793457
2024-12-31 11:30:03.340520,-0.005615,0.351440,0.941772,-2.929688,0.732422,-0.793457
2024-12-31 11:30:03.348520,-0.005249,0.350220,0.938477,-3.051758,0.793457,-0.854492
2024-12-31 11:30:03.357520,-0.006348,0.352417,0.942993,-3.234863,0.793457,-0.793457
2024-12-31 11:30:03.365520,-0.005493,0.348389,0.940186,-2.929688,0.854492,-0.732422
2024-12-31 11:30:03.374520,-0.005981,0.351196,0.943115,-3.112793,0.854492,-0.793457
2024-12-31 11:30:03.382520,-0.006348,0.349854,0.942139,-3.417969,0.732422,-0.793457
2024-12-31 11:30:03.391520,-0.118896,0.873901,0.767090,-0.549316,1.953125,-1.159668
2024-12-31 11:30:03.399520,-0.051147,0.419312,0.969604,70.983887,4.821777,-22.827148
2024-12-31 11:30:03.408520,0.053711,0.121216,0.971558,112.426758,-2.075195,-46.875000
2024-12-31 11:30:03.416520,0.008179,0.230591,0.979370,64.086914,4.882812,-28.503418
2024-12-31 11:30:03.425520,0.042358,0.308716,0.964600,47.424316,1.159668,-19.042969
2024-12-31 11:30:03.433520,-0.025635,0.310181,0.926636,28.747559,2.258301,-15.380859
2024-12-31 11:30:03.442520,-0.014526,0.286987,0.988403,49.499512,0.976562,-20.202637
2024-12-31 11:30:03.450520,-0.003906,0.271729,1.010986,50.354004,6.042480,-21.362305
2024-12-31 11:30:03.458520,-0.001709,0.253296,0.977295,42.297363,14.038086,-19.226074
2024-12-31 11:30:03.467520,0.018066,0.268921,0.957764,56.335449,14.892578,-20.385742
2024-12-31 11:30:03.475520,0.016113,0.277466,0.956787,58.288574,13.610840,-21.545410
2024-12-31 11:30:03.484520,0.020508,0.254761,0.959717,63.781738,10.559082,-24.353027
2024-12-31 11:30:03.492520,0.011230,0.215942,0.991455,70.922852,8.850098,-25.146484
2024-12-31 11:30:03.501520,0.017212,0.189209,0.996216,70.922852,10.498047,-25.878906
2024-12-31 11:30:03.509520,0.021240,0.169067,0.992065,70.312500,13.244629,-24.719238
2024-12-31 11:30:03.518520,0.029541,0.175537,0.981812,71.411133,11.779785,-25.207520
2024-12-31 11:30:03.526520,0.030029,0.135376,1.002808,67.382812,9.399414,-24.963379
2024-12-31 11:30:03.535520,0.067139,0.236572,0.926147,54.199219,10.375977,-21.850586
2024-12-31 11:30:03.543520,0.016113,0.165527,1.009766,55.236816,11.413574,-19.165039
2024-12-31 11:30:03.552520,0.004517,0.003784,1.077026,59.631348,13.671875,-21.606445
2024-12-31 11:30:03.560520,0.042236,0.201050,1.004028,52.429199,22.521973,-19.531250
2024-12-31 11:30:03.568520,0.015625,0.109009,1.024292,63.964844,27.587891,-22.399902
2024-12-31 11:30:03.577520,0.057495,0.094604,1.005005,62.255859,35.095215,-21.423340
2024-12-31 11:30:03.585520,0.063965,0.115479,0.982300,60.180664,36.437988,-20.446777
2024-12-31 11:30:03.594520,0.065063,0.111572,0.984985,63.354492,35.583496,-20.751953
2024-12-31 11:30:03.602520,0.057861,0.086060,1.006714,69.885254,33.508301,-23.437500
2024-12-31 11:30:03.611520,0.060181,0.052246,1.027710,72.204590,36.071777,-25.085449
2024-12-31 11:30:03.619520,0.060181,0.070801,1.025879,72.326660,43.457031,-23.803711
2024-12-31 11:30:03.628520,0.068359,0.069946,1.020020,77.758789,52.246094,-24.047852
2024-12-31 11:30:03.636520,0.097778,0.046509,0.994751,87.280273,61.462402,-25.756836
2024-12-31 11:30:03.645520,0.120239,-0.399902,1.165283,87.768555,67.687988,-23.376465
2024-12-31 11:30:03.653520,0.200073,0.043823,0.891479,27.770996,72.509766,-4.272461
2024-12-31 11:30:03.662520,0.198853,0.112915,0.904175,6.103516,56.457520,0.793457
2024-12-31 11:30:03.670520,0.181396,0.215332,0.925293,2.746582,30.822754,-4.394531
2024-12-31 11:30:03.679520,0.322998,0.372559,0.929932,-9.277344,12.634277,-16.296387
2024-12-31 11:30:03.687520,-0.006470,-0.327515,1.134521,-20.141602,9.399414,-32.531738
2024-12-31 11:30:03.695520,0.194946,-0.106323,0.978027,-2.624512,9.399414,-22.094727
2024-12-31 11:30:03.704520,0.124878,0.061279,0.994019,1.953125,13.610840,-12.756348
2024-12-31 11:30:03.712520,0.121826,0.279541,0.936523,-1.708984,15.747070,-14.648438
2024-12-31 11:30:03.721520,0.300171,-0.268188,1.018799,-14.099121,10.498047,-23.559570
2024-12-31 11:30:03.729520,0.171387,-0.203613,0.948730,-3.417969,5.737305,-28.198242
2024-12-31 11:30:03.738520,0.188232,-0.049805,0.944336,2.929688,-6.958008,-9.704590
2024-12-31 11:30:03.746520,0.167236,-0.058228,0.981689,-1.159668,-14.709473,-8.178711
2024-12-31 11:30:03.755520,0.166138,0.002319,0.988281,-2.258301,-20.996094,-7.324219
2024-12-31 11:30:03.763520,0.193481,0.075684,0.993286,-4.211426,-23.986816,-8.483887
2024-12-31 11:30:03.772520,0.145386,-0.081909,0.983765,-5.920410,-24.597168,-14.343262
2024-12-31 11:30:03.780520,0.158081,-0.032715,0.952759,-4.150391,-30.334473,-11.596680
2024-12-31 11:30:03.789520,0.139648,-0.030518,0.966064,-4.150391,-39.306641,-9.826660
2024-12-31 11:30:03.797520,0.182007,-0.002808,0.900879,-4.394531,-51.757812,-7.080078
2024-12-31 11:30:03.806520,0.401855,0.086792,1.010498,-5.371094,-71.472168,-3.601074
2024-12-31 11:30:03.814520,0.359253,-0.016724,0.992798,-14.892578,-62.255859,-18.920898
2024-12-31 11:30:03.822520,-0.448975,0.006714,1.255737,-20.019531,-57.861328,-20.690918
2024-12-31 11:30:03.831520,-0.019897,-0.124146,1.110352,0.305176,-48.583984,13.549805
2024-12-31 11:30:03.839520,-0.011719,0.038452,1.107544,0.000000,-5.798340,15.136719
2024-12-31 11:30:03.848520,0.070068,-0.111206,1.007080,0.122070,22.216797,1.586914
2024-12-31 11:30:03.856520,0.215942,-0.016113,0.787231,0.183105,26.428223,7.629395
2024-12-31 11:30:03.865520,0.165405,0.026123,0.821411,-1.892090,-17.578125,3.906250
2024-12-31 11:30:03.873520,0.124268,-0.039062,0.910522,-3.540039,-60.485840,-4.455566
2024-12-31 11:30:03.882520,0.016724,0.005005,1.065918,-3.295898,-76.049805,-1.464844
2024-12-31 11:30:03.890520,-0.003540,0.006226,1.088989,-2.685547,-66.467285,0.244141
2024-12-31 11:30:03.899520,-0.036621,-0.023926,1.128906,-1.525879,-49.072266,-0.671387
2024-12-31 11:30:03.907520,-0.048462,0.022949,1.105713,-0.427246,-26.306152,-0.549316
2024-12-31 11:30:03.916520,-0.101196,0.068726,1.150391,-1.403809,-11.413574,-0.488281
2024-12-31 11:30:03.924520,0.087280,0.027100,1.035645,-5.676270,6.408691,-4.089355
2024-12-31 11:30:03.932520,-0.066162,-0.028320,1.100220,-6.469727,28.747559,2.807617
2024-12-31 11:30:03.941520,0.024292,0.021973,1.031250,-4.882812,49.743652,3.784180
2024-12-31 11:30:03.949520,0.062988,0.029175,1.056885,-4.333496,70.495605,-12.145996
2024-12-31 11:30:03.958520,0.135864,0.097534,0.913818,0.549316,85.815430,-8.911133
2024-12-31 11:30:03.966520,0.176514,0.085083,0.902466,-0.732422,79.101562,-3.479004
2024-12-31 11:30:03.975520,0.188721,0.016357,0.859985,-3.662109,52.734375,-7.995605
2024-12-31 11:30:03.983520,0.139282,-0.122070,0.927124,-3.845215,21.850586,-10.131836
2024-12-31 11:30:03.992520,0.116333,-0.018799,0.972656,-5.310059,-1.037598,-7.324219
2024-12-31 11:30:04.000520,0.068726,-0.096191,1.026367,-6.591797,-10.498047,-7.080078
2024-12-31 11:30:04.009520,0.051880,0.105225,1.096436,-7.019043,-7.202148,-4.211426
2024-12-31 11:30:04.017520,-0.018311,-0.622192,1.175049,-16.357422,6.408691,-4.943848
2024-12-31 11:30:04.026520,0.075806,0.038086,0.904663,-35.461426,28.259277,8.178711
2024-12-31 11:30:04.034520,0.075562,0.014282,1.032471,-7.629395,30.517578,2.136230
2024-12-31 11:30:04.043520,0.101440,-0.026489,0.979492,-2.868652,32.409668,1.037598
2024-12-31 11:30:04.051520,-0.004150,-0.142944,0.882568,-10.437012,18.798828,-0.976562
2024-12-31 11:30:04.059520,-0.094360,-0.124756,0.955078,-3.967285,-3.601074,4.516602
2024-12-31 11:30:04.068520,0.058716,0.061401,0.955688,2.319336,-28.442383,7.385254
2024-12-31 11:30:04.076520,-0.032959,0.012573,1.055786,8.422852,-35.583496,-2.319336
2024-12-31 11:30:04.085520,0.036865,0.005249,1.077637,14.953613,-22.705078,-7.019043
2024-12-31 11:30:04.093520,0.217163,0.091187,1.125854,20.996094,-3.540039,0.671387
2024-12-31 11:30:04.102520,-0.052979,-0.035645,0.937134,5.737305,8.300781,6.591797
2024-12-31 11:30:04.110520,0.055420,0.050537,0.929688,-6.225586,-1.220703,16.906738
