millis,mx,my,mz
2025-04-14 12:49:50.969472,-45.788574,26.403809,-158.117676
2025-04-14 12:49:50.981472,-84.289551,23.754883,-206.872559
2025-04-14 12:49:50.994472,-176.855469,20.141602,-275.463867
2025-04-14 12:49:51.007472,-381.689453,14.196777,-305.969238
2025-04-14 12:49:51.020472,-400.000000,-1.464844,-68.457031
2025-04-14 12:49:51.033472,-400.000000,-14.172363,399.987793
2025-04-14 12:49:51.046472,-5.432129,-0.793457,399.987793
2025-04-14 12:49:51.059472,165.954590,39.074707,399.987793
2025-04-14 12:49:51.072472,119.091797,15.222168,399.987793
2025-04-14 12:49:51.085472,109.472656,18.957520,399.987793
2025-04-14 12:49:51.098472,105.053711,22.509766,399.987793
2025-04-14 12:49:51.111472,52.612305,23.400879,399.987793
2025-04-14 12:49:51.123472,-72.119141,24.084473,399.987793
2025-04-14 12:49:51.136472,-264.733887,18.640137,399.987793
2025-04-14 12:49:51.149472,-400.000000,-1.098633,399.987793
2025-04-14 12:49:51.162472,-400.000000,-23.876953,95.849609
2025-04-14 12:49:51.175472,-400.000000,-29.577637,-218.969727
2025-04-14 12:49:51.188472,-327.526855,-20.031738,-291.296387
2025-04-14 12:49:51.201472,-196.179199,-7.995605,-261.694336
2025-04-14 12:49:51.214472,-124.316406,1.293945,-223.815918
2025-04-14 12:49:51.227472,-80.578613,8.435059,-187.878418
2025-04-14 12:49:51.240472,-53.210449,13.208008,-158.837891
2025-04-14 12:49:51.253472,-38.317871,15.856934,-137.792969
2025-04-14 12:49:51.265472,-28.991699,18.261719,-121.972656
2025-04-14 12:49:51.278472,-22.265625,20.227051,-108.666992
2025-04-14 12:49:51.291472,-18.444824,21.752930,-99.182129
2025-04-14 12:49:51.304472,-14.624023,22.595215,-90.808105
2025-04-14 12:49:51.317472,-12.438965,23.669434,-83.642578
2025-04-14 12:49:51.330472,-10.693359,24.743652,-79.333496
2025-04-14 12:49:51.343472,-9.863281,25.415039,-74.279785
2025-04-14 12:49:51.356472,-8.129883,25.695801,-71.386719
2025-04-14 12:49:51.369472,-7.983398,25.585938,-67.736816
2025-04-14 12:49:51.382472,-7.409668,26.110840,-66.882324
2025-04-14 12:49:51.395472,-6.884766,26.647949,-65.673828
2025-04-14 12:49:51.407472,-7.470703,26.196289,-63.342285
2025-04-14 12:49:51.420472,-7.458496,26.452637,-61.987305
2025-04-14 12:49:51.433472,-7.299805,26.635742,-63.061523
2025-04-14 12:49:51.446472,-7.226562,26.721191,-61.401367
2025-04-14 12:49:51.459472,-6.921387,26.635742,-61.218262
2025-04-14 12:49:51.472472,-7.141113,26.867676,-59.875488
2025-04-14 12:49:51.485472,-7.067871,26.879883,-61.682129
2025-04-14 12:49:51.498472,-7.165527,26.586914,-60.754395
2025-04-14 12:49:51.511472,-7.263184,26.770020,-61.376953
2025-04-14 12:49:51.524472,-7.177734,26.708984,-62.353516
2025-04-14 12:49:51.536472,-7.214355,26.696777,-61.340332
2025-04-14 12:49:51.549472,-7.397461,26.843262,-62.451172
2025-04-14 12:49:51.562472,-7.556152,26.806641,-63.256836
2025-04-14 12:49:51.575472,-7.287598,27.087402,-61.853027
2025-04-14 12:49:51.588472,-7.470703,27.368164,-62.487793
