millis,mx,my,mz
2025-04-14 12:48:07.442022,-77.917480,74.609375,-115.283203
2025-04-14 12:48:07.455022,-76.257324,75.512695,-113.452148
2025-04-14 12:48:07.468022,-74.499512,76.538086,-111.486816
2025-04-14 12:48:07.481022,-72.937012,77.844238,-109.436035
2025-04-14 12:48:07.494022,-71.044922,78.430176,-109.216309
2025-04-14 12:48:07.507022,-69.787598,79.248047,-108.410645
2025-04-14 12:48:07.520022,-69.140625,80.371094,-108.679199
2025-04-14 12:48:07.533022,-68.322754,81.774902,-108.666992
2025-04-14 12:48:07.545022,-67.089844,82.678223,-109.033203
2025-04-14 12:48:07.558022,-66.723633,83.056641,-110.925293
2025-04-14 12:48:07.571022,-66.113281,84.277344,-112.268066
2025-04-14 12:48:07.584022,-64.599609,84.008789,-114.147949
2025-04-14 12:48:07.597022,-63.793945,83.874512,-115.283203
2025-04-14 12:48:07.610022,-62.609863,84.143066,-118.249512
2025-04-14 12:48:07.623022,-61.706543,83.813477,-121.813965
2025-04-14 12:48:07.636022,-61.047363,83.288574,-124.548340
2025-04-14 12:48:07.649022,-60.375977,83.203125,-126.708984
2025-04-14 12:48:07.662022,-60.070801,81.567383,-128.930664
2025-04-14 12:48:07.674022,-58.850098,80.407715,-132.873535
2025-04-14 12:48:07.687022,-58.312988,79.357910,-135.534668
2025-04-14 12:48:07.700022,-57.666016,77.893066,-137.402344
2025-04-14 12:48:07.713022,-56.323242,75.866699,-140.930176
2025-04-14 12:48:07.726022,-55.212402,73.657227,-141.723633
2025-04-14 12:48:07.739022,-54.016113,71.154785,-143.395996
2025-04-14 12:48:07.752022,-51.672363,67.700195,-145.275879
2025-04-14 12:48:07.765022,-50.207520,64.782715,-146.264648
2025-04-14 12:48:07.778022,-48.608398,60.937500,-146.289062
2025-04-14 12:48:07.791022,-46.203613,57.031250,-145.373535
2025-04-14 12:48:07.803022,-43.823242,53.259277,-143.811035
2025-04-14 12:48:07.816022,-42.175293,50.183105,-142.529297
2025-04-14 12:48:07.829022,-39.953613,47.473145,-141.174316
2025-04-14 12:48:07.842022,-38.671875,44.641113,-139.843750
2025-04-14 12:48:07.855022,-36.865234,42.590332,-139.453125
2025-04-14 12:48:07.868022,-35.632324,40.112305,-139.257812
2025-04-14 12:48:07.881022,-34.143066,37.963867,-139.062500
2025-04-14 12:48:07.894022,-33.435059,36.340332,-137.341309
2025-04-14 12:48:07.907022,-32.238770,33.728027,-138.208008
2025-04-14 12:48:07.920022,-31.591797,31.884766,-135.705566
2025-04-14 12:48:07.933022,-30.566406,31.079102,-136.352539
2025-04-14 12:48:07.945022,-30.969238,29.345703,-137.011719
2025-04-14 12:48:07.958022,-30.187988,28.613281,-137.084961
2025-04-14 12:48:07.971022,-30.761719,28.747559,-137.487793
2025-04-14 12:48:07.984022,-31.164551,28.271484,-139.611816
2025-04-14 12:48:07.997022,-31.945801,27.429199,-140.905762
2025-04-14 12:48:08.010022,-32.751465,26.892090,-141.833496
2025-04-14 12:48:08.023022,-33.093262,27.075195,-142.944336
2025-04-14 12:48:08.036022,-34.008789,27.270508,-144.323730
2025-04-14 12:48:08.049022,-34.130859,27.807617,-144.262695
2025-04-14 12:48:08.062022,-35.095215,28.149414,-146.203613
2025-04-14 12:48:08.074022,-36.474609,28.979492,-145.520020
2025-04-14 12:48:08.087022,-37.683105,30.102539,-145.654297
2025-04-14 12:48:08.100022,-40.075684,30.908203,-147.192383
2025-04-14 12:48:08.113022,-41.101074,32.543945,-146.459961
2025-04-14 12:48:08.126022,-42.260742,34.375000,-144.433594
2025-04-14 12:48:08.139022,-42.431641,36.645508,-142.797852
2025-04-14 12:48:08.152022,-43.090820,39.221191,-140.136719
2025-04-14 12:48:08.165022,-42.016602,41.687012,-137.219238
2025-04-14 12:48:08.178022,-41.613770,42.919922,-133.666992
2025-04-14 12:48:08.191022,-41.198730,43.933105,-130.529785
2025-04-14 12:48:08.204022,-40.441895,45.104980,-127.185059
2025-04-14 12:48:08.216022,-38.537598,45.874023,-125.390625
2025-04-14 12:48:08.229022,-37.194824,47.058105,-123.168945
2025-04-14 12:48:08.242022,-34.960938,47.424316,-121.105957
2025-04-14 12:48:08.255022,-33.508301,48.376465,-120.214844
2025-04-14 12:48:08.268022,-32.653809,49.084473,-119.165039
2025-04-14 12:48:08.281022,-31.201172,49.084473,-117.578125
2025-04-14 12:48:08.294022,-30.273438,49.389648,-118.432617
2025-04-14 12:48:08.307022,-29.138184,49.584961,-117.419434
2025-04-14 12:48:08.320022,-28.503418,49.792480,-117.663574
2025-04-14 12:48:08.333022,-26.574707,50.012207,-117.565918
2025-04-14 12:48:08.345022,-25.415039,50.585938,-117.651367
2025-04-14 12:48:08.358022,-24.279785,50.378418,-116.918945
2025-04-14 12:48:08.371022,-22.326660,51.000977,-115.747070
2025-04-14 12:48:08.384022,-21.655273,50.939941,-113.842773
2025-04-14 12:48:08.397022,-20.239258,50.866699,-112.182617
2025-04-14 12:48:08.410022,-20.031738,50.622559,-109.802246
2025-04-14 12:48:08.423022,-19.335938,50.805664,-109.826660
2025-04-14 12:48:08.436022,-19.531250,51.074219,-108.300781
2025-04-14 12:48:08.449022,-18.933105,50.976562,-107.006836
2025-04-14 12:48:08.462022,-19.641113,50.830078,-107.531738
2025-04-14 12:48:08.474022,-19.091797,50.659180,-106.958008
2025-04-14 12:48:08.487022,-19.909668,49.768066,-106.347656
2025-04-14 12:48:08.500022,-20.715332,50.207520,-105.590820
2025-04-14 12:48:08.513022,-20.544434,50.073242,-105.273438
2025-04-14 12:48:08.526022,-21.435547,50.085449,-105.993652
2025-04-14 12:48:08.539022,-22.521973,49.951172,-107.995605
2025-04-14 12:48:08.552022,-24.060059,49.572754,-109.997559
2025-04-14 12:48:08.565022,-24.926758,49.157715,-111.511230
2025-04-14 12:48:08.578022,-27.062988,48.596191,-115.283203
2025-04-14 12:48:08.591022,-27.807617,46.752930,-117.541504
2025-04-14 12:48:08.604022,-28.723145,46.337891,-120.532227
2025-04-14 12:48:08.616022,-30.639648,45.617676,-124.499512
2025-04-14 12:48:08.629022,-32.849121,45.434570,-127.661133
2025-04-14 12:48:08.642022,-35.119629,46.154785,-134.020996
2025-04-14 12:48:08.655022,-38.891602,45.288086,-140.502930
2025-04-14 12:48:08.668022,-42.407227,44.750977,-149.157715
2025-04-14 12:48:08.681022,-46.337891,43.103027,-156.677246
2025-04-14 12:48:08.694022,-49.047852,41.540527,-165.100098
2025-04-14 12:48:08.707022,-53.454590,38.891602,-173.925781
2025-04-14 12:48:08.720022,-57.324219,36.669922,-181.042480
2025-04-14 12:48:08.733022,-61.535645,35.192871,-187.500000
2025-04-14 12:48:08.745022,-65.161133,33.959961,-190.441895
2025-04-14 12:48:08.758022,-68.029785,35.729980,-188.684082
2025-04-14 12:48:08.771022,-71.093750,37.670898,-184.423828
2025-04-14 12:48:08.784022,-71.691895,39.697266,-178.051758
2025-04-14 12:48:08.797022,-71.545410,42.504883,-170.825195
2025-04-14 12:48:08.810022,-72.021484,45.385742,-162.329102
2025-04-14 12:48:08.823022,-70.324707,47.290039,-153.723145
2025-04-14 12:48:08.836022,-68.920898,49.572754,-146.057129
2025-04-14 12:48:08.849022,-67.004395,50.878906,-140.686035
2025-04-14 12:48:08.862022,-64.123535,52.185059,-134.204102
2025-04-14 12:48:08.875022,-61.657715,52.197266,-129.504395
2025-04-14 12:48:08.887022,-58.630371,52.087402,-124.096680
2025-04-14 12:48:08.900022,-55.249023,52.148438,-118.518066
2025-04-14 12:48:08.913022,-51.794434,52.124023,-113.769531
2025-04-14 12:48:08.926022,-48.925781,51.306152,-108.789062
2025-04-14 12:48:08.939022,-47.106934,51.110840,-104.089355
2025-04-14 12:48:08.952022,-46.484375,51.208496,-103.076172
2025-04-14 12:48:08.965022,-45.483398,51.281738,-100.512695
2025-04-14 12:48:08.978022,-44.848633,51.049805,-100.695801
2025-04-14 12:48:08.991022,-44.287109,51.477051,-100.866699
2025-04-14 12:48:09.004022,-43.884277,50.708008,-101.721191
2025-04-14 12:48:09.016022,-43.481445,50.793457,-101.794434
2025-04-14 12:48:09.029022,-43.334961,50.695801,-102.819824
2025-04-14 12:48:09.042022,-43.090820,50.317383,-104.956055
2025-04-14 12:48:09.055022,-43.041992,50.451660,-107.006836
2025-04-14 12:48:09.068022,-43.566895,50.659180,-107.189941
2025-04-14 12:48:09.081022,-43.383789,50.805664,-109.655762
2025-04-14 12:48:09.094022,-44.763184,50.524902,-111.828613
2025-04-14 12:48:09.107022,-46.386719,50.744629,-114.941406
2025-04-14 12:48:09.120022,-48.669434,51.464844,-119.348145
2025-04-14 12:48:09.133022,-49.780273,52.294922,-122.070312
2025-04-14 12:48:09.145022,-51.757812,52.758789,-125.305176
2025-04-14 12:48:09.158022,-53.015137,53.527832,-129.528809
2025-04-14 12:48:09.171022,-53.613281,53.686523,-132.153320
2025-04-14 12:48:09.184022,-53.649902,53.308105,-132.983398
2025-04-14 12:48:09.197022,-55.285645,53.735352,-135.754395
2025-04-14 12:48:09.210022,-55.773926,53.662109,-138.024902
2025-04-14 12:48:09.223022,-57.006836,53.063965,-140.478516
2025-04-14 12:48:09.236022,-57.458496,52.648926,-142.626953
2025-04-14 12:48:09.249022,-57.739258,52.221680,-144.873047
2025-04-14 12:48:09.262022,-57.910156,51.721191,-148.376465
2025-04-14 12:48:09.275022,-58.361816,49.963379,-150.219727
2025-04-14 12:48:09.287022,-58.996582,49.133301,-151.464844
2025-04-14 12:48:09.300022,-59.106445,48.193359,-153.698730
2025-04-14 12:48:09.313022,-59.875488,46.362305,-156.420898
2025-04-14 12:48:09.326022,-60.705566,44.750977,-158.227539
2025-04-14 12:48:09.339022,-61.267090,40.942383,-161.096191
2025-04-14 12:48:09.352022,-61.499023,38.244629,-163.720703
2025-04-14 12:48:09.365022,-61.267090,34.582520,-164.111328
2025-04-14 12:48:09.378022,-60.791016,31.054688,-164.001465
2025-04-14 12:48:09.391022,-59.997559,26.208496,-161.340332
2025-04-14 12:48:09.404022,-58.935547,22.033691,-158.886719
2025-04-14 12:48:09.416022,-58.251953,18.054199,-154.882812
2025-04-14 12:48:09.429022,-57.983398,14.526367,-151.965332
2025-04-14 12:48:09.442022,-57.336426,11.730957,-147.717285
2025-04-14 12:48:09.455022,-56.701660,10.156250,-143.444824
2025-04-14 12:48:09.468022,-55.432129,8.288574,-139.367676
2025-04-14 12:48:09.481022,-54.614258,6.677246,-135.144043
2025-04-14 12:48:09.494022,-54.211426,6.250000,-131.140137
2025-04-14 12:48:09.507022,-53.686523,6.872559,-127.124023
