millis,mx,my,mz
2025-04-14 12:50:59.713908,-14.550781,-7.971191,303.759766
2025-04-14 12:50:59.726908,14.184570,-39.379883,288.989258
2025-04-14 12:50:59.739908,33.764648,-63.549805,281.567383
2025-04-14 12:50:59.752908,38.037109,-86.804199,274.462891
2025-04-14 12:50:59.765908,22.705078,-105.920410,266.943359
2025-04-14 12:50:59.778908,-3.649902,-122.375488,264.270020
2025-04-14 12:50:59.791908,-47.106934,-136.804199,262.365723
2025-04-14 12:50:59.804908,-120.715332,-140.649414,247.180176
2025-04-14 12:50:59.816908,-223.303223,-126.770020,198.266602
2025-04-14 12:50:59.829908,-337.048340,-87.182617,103.344727
2025-04-14 12:50:59.842908,-400.000000,-26.232910,-40.270996
2025-04-14 12:50:59.855908,-400.000000,38.671875,-187.548828
2025-04-14 12:50:59.868908,-400.000000,87.622070,-300.390625
2025-04-14 12:50:59.881908,-347.778320,114.697266,-373.840332
2025-04-14 12:50:59.894908,-284.692383,117.199707,-400.000000
2025-04-14 12:50:59.907908,-228.173828,99.487305,-400.000000
2025-04-14 12:50:59.920908,-187.756348,74.060059,-400.000000
2025-04-14 12:50:59.933908,-160.949707,47.692871,-387.011719
2025-04-14 12:50:59.946908,-147.326660,21.704102,-370.092773
2025-04-14 12:50:59.958908,-142.443848,-2.478027,-353.210449
2025-04-14 12:50:59.971908,-145.678711,-25.964355,-332.995605
2025-04-14 12:50:59.984908,-156.970215,-46.252441,-308.532715
2025-04-14 12:50:59.997908,-174.743652,-62.658691,-277.856445
2025-04-14 12:51:00.010908,-193.469238,-72.900391,-240.551758
2025-04-14 12:51:00.023908,-212.670898,-75.439453,-188.317871
2025-04-14 12:51:00.036908,-230.004883,-65.173340,-125.964355
2025-04-14 12:51:00.049908,-239.184570,-44.421387,-59.423828
2025-04-14 12:51:00.062908,-236.950684,-15.197754,6.213379
2025-04-14 12:51:00.075908,-218.872070,21.362305,68.688965
2025-04-14 12:51:00.087908,-184.545898,57.177734,117.932129
2025-04-14 12:51:00.100908,-147.216797,82.739258,152.087402
2025-04-14 12:51:00.113908,-111.987305,99.230957,186.364746
2025-04-14 12:51:00.126908,-69.531250,107.421875,222.521973
2025-04-14 12:51:00.139908,-18.518066,103.417969,257.238770
2025-04-14 12:51:00.152908,25.109863,75.964355,277.575684
2025-04-14 12:51:00.165908,44.055176,33.728027,279.553223
